Artiste;Streams;Image
Drake;53,0;https://raw.githubusercontent.com/TimileyinSamuel/Top-10-most-streamed-artistes-on-spotify/main/Artistes/Drake.png
Bad Bunny;48,7;https://raw.githubusercontent.com/TimileyinSamuel/Top-10-most-streamed-artistes-on-spotify/main/Artistes/Bad%20Bunny.png
Ed Sheeran;39,6;https://raw.githubusercontent.com/TimileyinSamuel/Top-10-most-streamed-artistes-on-spotify/main/Artistes/Ed%20Sheeran.png
The Weeknd;37,8;https://raw.githubusercontent.com/TimileyinSamuel/Top-10-most-streamed-artistes-on-spotify/main/Artistes/The%20Weeknd.png
Taylor Swift;37,2;https://raw.githubusercontent.com/TimileyinSamuel/Top-10-most-streamed-artistes-on-spotify/main/Artistes/Taylor%20Swift.png
Justin Bieber;33,7;https://raw.githubusercontent.com/TimileyinSamuel/Top-10-most-streamed-artistes-on-spotify/main/Artistes/Justin%20Bieber.png
Ariana Grande;33,5;https://raw.githubusercontent.com/TimileyinSamuel/Top-10-most-streamed-artistes-on-spotify/main/Artistes/Ariana%20Grande.png
Eminem;31,9;https://raw.githubusercontent.com/TimileyinSamuel/Top-10-most-streamed-artistes-on-spotify/main/Artistes/Eminem.png
Post Malone;30,8;https://raw.githubusercontent.com/TimileyinSamuel/Top-10-most-streamed-artistes-on-spotify/main/Artistes/Post%20Malone.png
BTS;30,2;https://raw.githubusercontent.com/TimileyinSamuel/Top-10-most-streamed-artistes-on-spotify/main/Artistes/BTS.png
